Sentence ID,HIT ID,Formality,Informativeness,Implicature,Length in Words,Length in Characters,F-score,I-score,Lexical Density,Actual sentence
0,3D1TUISJWHZ3X38ICFUZ8CHJC9KIUW,5.8,6.4,4.2,33,201,93.93939394,7.242424242,66.66666667,"10In High Bay 4 of the Vehicle Assembly Building at NASA's Kennedy Space Center in Florida, technicians maneuver a second roll control system module into place for installation in the Ares I-X segment."
1,3GKAWYFRAOS9XNK03FUU79E7CNKDPT,5.2,5.8,2.6,45,266,85.55555556,5.2,62.22222222,"12The oxygen vent arm and hood removed from the fixed service structure at NASA Kennedy Space Center's Launch Pad 39B is ready for transfer from the pad to a storage facility, after the pad was transferred from the Space Shuttle Program to the Constellation Program."
2,3VMHWJRYHUFB4G0NGCZ1PM3VQZ8XFB,5.2,5.6,4.8,29,186,93.10344828,3.896551724,65.51724138,"13In the Rotation, Processing and Surge Facility at NASA's Kennedy Space Center in Florida, a technician performs propellant grain inspection of the inside of the Ares I-X motor segment."
3,3NFWQRSHVDD0IU5XR2ZX1030N9CFG1,4.8,4.4,3,16,98,87.5,3.375,68.75,"14In the Vehicle Assembly Building's High Bay 4, assembly of the Ares I-X rocket nears completion."
4,359AP8GAGFJAMPAM7X52NH54RT17CF,5.6,5.2,2.8,19,108,84.21052632,6.210526316,63.15789474,"15In the Vehicle Assembly Building's High Bay 3, a yellow framework, lifts Super Stack 5 atop Super Stack 4."
5,3THR0FZ95OSAAZWR1WF31MHMBRQLO0,4.4,4.8,4,23,142,93.47826087,5,73.91304348,16Work platforms surround the Ares I-X launch vehicle in the Vehicle Assembly Building's High Bay 4 at NASA's Kennedy Space Center in Florida.
6,30P8I9JKOHKRYU23ALLAFPFXLUN5VY,4.6,6.2,3.2,36,212,91.66666667,5.527777778,61.11111111,"17In the Vehicle Assembly Building's High Bay 3 at Kennedy Space Center in Florida, a technician works on a platform mounted on the interior wall of the upper stage simulator of the 327-foot-tall Ares I-X rocket."
7,3SR6AEG6W4SKIHH3GY93BLMH8KFHYZ,4.8,6.4,2.4,35,208,82.85714286,4.885714286,71.42857143,"18The Ares I-X rocket, shown in in High Bay 3 of Kennedy Space Center's Vehicle Assembly Building is being prepared for this week's Launch Vehicle Readiness Test in Cape Canaveral, Fla., Monday, Oct. 5, 2009."
8,39AYGO6AFEJA9TT8DD9OXEZKVMVN6E,5.2,6.8,1.4,30,183,83.33333333,4.466666667,66.66666667,"19The 327-foot-tall Ares I-X test rocket moves slowly to launch pad 39B from the Vehicle Assembly Building at the Kennedy Space Center in Cape Canaveral, Fla., Tuesday, Oct. 20, 2009."
9,34XASH8KLPLC1HQDG8TXQZ11L1BPMM,1.6,4.6,3,10,55,35,5.7,70,1. bluetooth isn't turned on prior to trying to connect
10,3UQVX1UPFRGJ6WI0P5VNWPMV7OJ020,1.4,3.6,3.8,16,80,75,7.125,43.75,1) Check out this random object we found at a thrift store (via the link below).
11,3HA5ODM5K9RS4W0EMHYI80PPZEUVSP,4.2,6,3.8,13,71,61.53846154,6.153846154,61.53846154,1. Go into the printers control panel and choose Printer > Add Printer.
12,3AJA9FLWSBXEELBSHQZ0MCGG2M4FIT,2.4,4.4,3.6,5,42,60,7,40,1. Go to System/Administration/Printing 2.
13,3XABXM4AJ04IG4POMKY3LMQG6S98Q9,2.4,2.2,3.4,5,18,50,6,40,1. I have no clue.
14,3EN4YVUOUBRR9IMJZ2QM4KVNJ6PXJE,3.8,3.8,3.8,32,161,50,4.1875,50,"1. I know exactly how to convert my iTMS files to unprottected MP3's (Audio Hijack Pro), but what do I do about videos downloaded on iTMS (I have a lot of them)?"
15,3BFF0DJK8WBDR4WPHMY37I142TEST6,2.2,2.4,4.4,9,44,61.11111111,2.666666667,44.44444444,1. Is Levi Johnston screwing with all of us?
16,35JDMRECC388CG51WRFRJII0B8YGEL,2.4,4.4,2.6,11,58,50,5.636363636,63.63636364,1) Kids love coming here if they enjoy the great outdoors.
17,3MYASTQBG6AUXZLF3S9J7E4HHJ6DQK,3,5.4,3.2,14,69,75,7.285714286,50,1) make sure that there is a valid driver for your printer in ubuntu.
18,3P7QK0GJ3SKG8HOQTZ8F2OPHPV22ZU,4,3.6,5.4,9,56,83.33333333,6,66.66666667,1.) The European Union strikes a climate financing deal.
19,3IH9TRB0FAYNO6HKARKFXACM1CLI1V,1.4,2.6,4.4,8,35,31.25,3,50,1. Where should we park to do this.
20,3TRB893CSI9N31QR9J1LD8QJPLT7GP,4.2,5.2,4.4,42,252,78.57142857,4.547619048,59.52380952,$200 million in stimulus funds flows to Georgia to update power grid: More than $200 million in federal stimulus money is expected to flow into projects in Georgia as part of the Obama Administration's plans to upgrade the nation's aging electric grid.
21,3CVDZS288GZ0A41J25XSE5NXJVOFM9,4.4,6.6,4.4,28,193,87.5,4.857142857,67.85714286,20The driver of the crawler-transporter slowly maneuvers the huge vehicle under the mobile launcher platform holding the 327-foot-tall Ares I-X rocket at NASA's Kennedy Space Center in Florida.
22,3OQQD2WO8H5JY9VZXVYYL3RJZWZI3N,4.8,6,4,22,126,86.36363636,5.681818182,59.09090909,"21NASA's Ares 1-X rocket rolls out to launch pad 39-B at the Kennedy Space Center October 20, 2009 in Cape Canaveral, Florida."
23,36KM3FWE3QBQSXF6VHCISG33I4507G,5.4,6.4,2.2,23,126,78.26086957,5.043478261,65.2173913,"22NASA's Ares I-X rocket is seen on launch pad 39b at the Kennedy Space Center in Cape Canaveral, Fla., Monday, Oct. 26, 2009."
24,3L84EBDQ361G02TUI4B9F5NY2MAKKB,4,5.8,3.8,32,173,84.375,5.3125,62.5,"23The top section of NASA's new Ares 1-X test vehicle is reflected in a pond as an alligator lurks near launch pad 39-B at Kennedy Space Center, Florida on October 26, 2009."
25,3EFNPKWBMRN8REEJT59SFZRND2J30E,3.6,6.4,2.4,28,164,85.71428571,5.678571429,57.14285714,"24The Ares 1-X test rocket lifts off on a six-minute suborbital flight from launch pad 39B at the Kennedy Space Center in Cape Canaveral, Florida, October 28, 2009."
26,3J9UN9O9J2RJCSG8WQ1FV68C9Z5J06,4.2,6.2,3,22,128,79.54545455,5.454545455,59.09090909,"25NASA's Ares 1-X rocket lifts off from launch pad 39-b at the Kennedy Space Center October 28, 2009 in Cape Canaveral, Florida."
27,3IVEC1GSLOYJJH1QS95F9BRMERBJ19,4.6,5.6,4.6,35,201,92.85714286,4.571428571,62.85714286,"26A cone of moisture surrounds part of the Ares I-X rocket during lift off Wednesday, Oct. 28, 2009, on a sub-orbital test flight from the Kennedy Space Center's Launch Pad 39-B in Cape Canaveral, Fla."
28,32204AGAAABKWQW3MSNX4LFD3OQGH1,5.4,6.4,2.4,30,173,88.33333333,4.2,56.66666667,"27The Ares 1-X test rocket climbs into the sky on a six-minute suborbital flight from launch pad 39B at the Kennedy Space Center in Cape Canaveral, Florida October 28, 2009."
29,306W7JMRYXXVCYNZ321DQXVHKS8B80,5.6,6.2,2.2,30,194,86.66666667,5.766666667,70,"28NASA's new Ares 1-X test vehicle goes through first stage/upper stage simulator seperation about two minutes after launch Kennedy Space Center's launch pad 39-B in Florida on October 28, 2009."
30,3MDWE879UG1VQ3698U7RQTQS4YQB9P,2.2,4,3,15,101,80,4.133333333,66.66666667,2. Add a printer and enter the appropriate  ipp://[ip address]:[port]/ipp/P1  in the Device URI field
31,3QGTX7BCHO187E7DBIAD0VST95T5ZY,3.4,5.4,2.6,10,52,80,4.5,60,"2Ares I First Stage Motor Unveiled on July 20, 2009."
32,3NOEP8XAU31NVTPHUFV61GHZS5VXPE,3,2.6,2,9,38,66.66666667,4.777777778,44.44444444,2) Create a story about in in 6 words.
33,3ZLW647WAKUFNOHX8SD6YNK2A0332Y,3,4.4,3.8,6,31,91.66666667,8.166666667,66.66666667,2) Double click on New Printer.
34,3J06WJ78HMJ8WOHIGC3NJN9WYIOVVU,1.8,3.4,3.6,24,112,60.41666667,5.583333333,70.83333333,"2. I have read sites detailing how to dual boot OS X and Dapper, but is there a way to single boot- only Dapper?"
35,30IRMPJWDYI2N66P8OK6GH9CXE4KR4,2,2.8,4.8,10,41,75,5.3,50,2. Is the cave of the winds hard to walk?
36,37Y5RYYI0O4K8L59MWZ0WLMAFP2SXP,1.2,4.6,4.2,13,62,61.53846154,2.923076923,69.23076923,2) Just wipe the Mac OS X partition when u install the dapper.
37,3R5OYNIC2B8GECGXP5U9CDWTF97PTN,3.6,4.8,4.6,7,44,78.57142857,0.571428571,71.42857143,2) Marty Peretz apologizes to Matt Yglesias.
38,38O9DZ0A61MEK74FRUB45QWMKR5627,5.8,6,5.2,12,69,75,2.416666667,66.66666667,2. Select Network Printer and use the listbox to choose HP JetDirect.
39,32CXT5U14F2A8XW53TI8VNN59DF8UE,2.8,5.6,4.4,18,93,55.55555556,5.5,61.11111111,"2)There are some pools, but most fun can be had at the great beaches/ponds that we have here."
40,372AGES0I348765W77ZV6BHETNJXR6,1.4,3.8,3.6,49,252,57.14285714,4.469387755,57.14285714,"2. well I would try the live cd first, (also called the desktop cd, I don't know which architecture to use for the new intel macs, i'm sure you could ask some of the mac people here in the forums) to check for compatability of your hardware and ubuntu."
41,3IJ95K7NDWBC6MIEPQIA95C9P0ZGNA,1.2,1.6,4.8,8,40,37.5,1.875,50,2. What the hell isn't he talking about?
42,3XUSYT70IS0696GGMUF4S8DZ4F80D9,2.6,4.8,3.6,26,143,59.61538462,3.038461538,57.69230769,"2) your print server IP address, which I assume is ""192.168.0.1"", normally it should be the same IP as the gateway, i.e your router IP address."
43,3SD15I2WD1T35P0YVUP9O01EQ5563I,1.4,3,4.8,12,79,75,2.083333333,58.33333333,"3. Anyone know about right-clicking on the MacBook, with it's one-button mouse?"
44,3ICOHX7ENBAB1CUGIPQOYQVK4R90E2,5,4.2,3.4,7,44,92.85714286,2.428571429,71.42857143,3.) Chamber of Commerce chief battles Obama.
45,3087LXLJ6LF37QUCD0AUG8GKGSO0FK,3.6,5.2,3.4,41,222,65.85365854,3.512195122,53.65853659,"3) check on the ""Network Printer"" radio button and choose Unix Printer (LPD) and enter the IP address of your print server (for your case, it might be 192.168.0.1) for the ""host"" and lp for the Queue , then click ""forward"""
46,3MQKOF1EE1NZHWH1F18PZ3M35KNDWO,3.8,5.4,2.8,33,205,86.36363636,5.757575758,66.66666667,"3Flames shot more than 100 feet high in a successful 5.5-second ground test firing Thursday, Nov. 20, 2008 of a launch abort motor for NASA's next generation spacecraft, the Orion crew exploration vehicle."
